title_en,title_ko,abstract_en,abstract_ko,keywords_en,keywords_ko,author_ids,date,venue,under_review,in_press,publication_type,topic,award_id,doi,url,note
,동절기 동파 방지 외기 조화기 시스템의 최적 제어,,,,,mun-jy;jo-hg;kim-ys;kim-jh;park-cs;mun-jh;park-ys,2024-11-14,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 176-177. November 14-16, 2024, Jeju National University, Jeju.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,GIS를 이용한 서울지역 업무시설 형상 입력 단순화의 영향력 분석,,,,,park-ch;lee-sj;jo-hg;park-cs,2024-11-14,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 108-109. November 14-16, 2024, Jeju National University, Jeju.",FALSE,FALSE,domestic-conference,,,,,
Comparison of simplified and detailed geometry building energy models - Focused on shading effect -,단순 및 상세 형상 건물 에너지 모델의 비교 - 음영 효과 반영 여부에 따른 에너지 부하 차이 분석 -,,,building energy model; simplified geometry; detailed geometry; simplified building performance rating method (s-bpm),건물 에너지 모델; 단순 형상 모델; 상세 형상 모델; 건물 에너지 모델 단순화; 형상 단순화,lee-sj;park-ch;jo-hg;yoo-ys;kim-sh;park-cs,2024-10-23,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 636-637. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",FALSE,FALSE,domestic-conference,,,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12002896,
,동적 건물 에너지 모델의 형상 입력 단순화 방법 비교,,,,,park-ch;lee-sj;jo-hg;yoo-ys;kim-sh;park-cs,2024-10-23,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 634-635. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",FALSE,FALSE,domestic-conference,,,,,
,동적 상호연결을 통한 물리 지식 신경망 제어 모델의 확장성 향상,,,,,mun-jy;jo-hg;park-cs,2024-10-23,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 513-514. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,외기 조화기 시스템의 난방 코일 제어 최적화,,,,,mun-jy;jo-hg;kim-ys;kim-jh;park-cs;mun-jh;park-ys,2024-10-23,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 482-483. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,그린리모델링을 위한 건물에너지 감축량의 불확실성 분석,,,,,kwon-so;jo-hg;yoo-ys;kim-uh;park-cs,2024-10-23,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 493-494. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",FALSE,FALSE,domestic-conference,retrofit,,,https://www.auric.or.kr/User/Rdoc/DocRdoc.aspx?dn=433085&returnVal=RD_R,
,전이학습을 이용한 냉각탑의 하이브리드 모델링,,,,,kim-jh;kim-ys;jo-hg;park-cs;urabe-e;mun-jh;gwak-jh;shin-yk;park-ys,2024-05-02,"Proceedings of the Spring Joint Conference of the Korean Operations Research and Management Science Society, Korean Institute of Industrial Engineers, and Korea Society for Simulation. May 2-4, 2024, Yeosu Expo Convention Center, Yeosu.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,재실자 예측 정보 기반 체육 시설 전열 교환 환기시스템의 실시간 모델 예측 제어,,,,,ra-sj;jo-hg;jeong-h;heo-tw;park-cs,2022-11-25,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 149-150. November 25, 2022, Yonsei University, Seoul.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,건물의 운영 특성을 고려한 냉동기의 실질 성능 계수(net-COP) 도출 방법,,,,,kim-ys;kim-jh;jo-hg;park-cs,2022-10-26,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 42, No. 2, pp. 387-388. October 26-28, 2022, Phoenix Jeju Seopjikoji, Jeju.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,https://www.auric.or.kr/user/Rdoc/DocRdoc.aspx?dn=417099&returnVal=RD_R,
,복수의 열원기기 동특성을 결합한 외기조화기(OAC) 시스템 냉방 최적 제어,,,,,kim-jh;kim-ys;jo-hg;gwak-jh;urabe-e;park-ys;park-cs,2022-10-26,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 42, No. 2, pp. 352-353. October 26-28, 2022, Phoenix Jeju Seopjikoji, Jeju.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,https://www.auric.or.kr/User/Rdoc/DocRdoc.aspx?dn=417084&returnVal=RD_R,
,표준기상데이터 및 실제 기상데이터를 이용한 자연채광 조도 시뮬레이션의 불확실성 분석,,,,,choi-sh;jo-hg;yoo-ys;park-cs,2022-04-28,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 42, No. 1, pp. 394-395. April 28-29, 2022, The-K Hotel, Seoul.",FALSE,FALSE,domestic-conference,daylighting-lighting-control,,,,
,집중 시뮬레이션 모델을 활용한 건물의 실시간 냉방 예측 제어,,,,,ra-sj;kim-jh;kim-ys;jo-hg;shin-hs;park-cs,2021-10-27,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 41, No. 2, pp. 323-324. October 27-30, 2021, Yeosu Expo Convention Center, Yeosu, Jeollanam-do.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,실내온도 예측을 통한 공장 건물의 실시간 난방 제어,,,,,ra-sj;shin-hs;kim-ys;jo-hg;kim-jh;park-cs,2021-04-21,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 41, No. 1, pp. 309-310. April 21-23, 2021, International Convention Center Jeju, Seogwipo, Jeju-do.",FALSE,FALSE,domestic-conference,hvac-modeling-control,,,,
,인공신경망을 이용한 수평면 전 일사량 예측모델,,,,,kim-jh;jo-hg;kim-ys;shin-hs;park-cs,2021-04-21,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 41, No. 1, pp. 288-289. April 21-23, 2021, International Convention Center Jeju, Seogwipo, Jeju-do.",FALSE,FALSE,domestic-conference,daylighting-lighting-control,,,,
,지리정보시스템 기반 EnergyPlus parser 개발,,,,,lee-dh;ko-yd;yoo-ys;jo-hg;kim-dw;park-cs,2020-11-19,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 81-82. November 19-21, 2020, Korea National University of Transportation, Chungju.",FALSE,FALSE,domestic-conference,,,,,
,"10,750개 건물의 월별 에너지 사용의 반복성 평가",,,,,ko-yd;lee-dh;yoo-ys;jo-hg;kim-dw;park-cs,2020-11-19,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 145-146. November 19-21, 2020, Korea National University of Transportation, Chungju.",FALSE,FALSE,domestic-conference,,,,,
,강건 회귀 및 시계열 군집 분석 기반 건물 에너지 패턴 분류,,,,,lee-dh;yoo-ys;ko-yd;jo-hg;park-cs,2020-10-26,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 392-393. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",FALSE,FALSE,domestic-conference,,,,,
,DDPG 강화학습을 이용한 조명 제어,,,,,kim-ys;jo-hg;shin-hs;park-cs,2020-10-26,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 382-383. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",FALSE,FALSE,domestic-conference,daylighting-lighting-control,,,,
,데이터 기반 건물 에너지 입력 변수 역추적 방법,,,,,ko-yd;lee-dh;yoo-ys;jo-hg;park-cs,2020-10-26,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 384-385. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",FALSE,FALSE,domestic-conference,,,,,
